10 15
 50 138 146  25  60  51 130 114  39 121  45 138 144  91 111 
148  30  18  16  75  48  71 136 104  75 141  77  62  40  33 
124  76 133 149 107 122 107  60  83  50  59 122  81 138  92 
 71  85  75 120  66 113  43  15 116  86 100  20 109  22 146 
 61 121  68  98 131  46  36  97 122  55  91 141  22 107 100 
 23 106  41  55 148  18 101  49  61 148  40  83 139 139 140 
 86 101  25  13  60 142 143  47  20  46 117  73  38  36  12 
 94  88  69  78  91  72  90  30  65 149 122  29 121  13 149 
 99 115  20 104 125  45  68 127  34 127 119  86 120  12  96 
 54 128  54  35  95 137 125  73  72  26 135  38  17  21  26 
