10 20
15 29 21 36 19 46 29 46 40 31 32 48 43 33 47 46 13 22 34 43 
48 32 49 49 18 45 14 10 19 17 42 40 20 28 28 32 48 38 41 44 
24 40 32 40 33 45 38 29 24 10 34 45 34 33 25 30 29 12 44 35 
19 32 40 15 32 31 47 35 33 27 13 17 23 32 22 42 13 49 38 30 
14 14 17 10 27 37 36 47 28 30 27 16 12 43 29 19 34 39 37 12 
13 38 10 31 23 14 49 45 30 21 17 16 31 35 31 26 35 33 43 27 
39 26 27 18 47 25 47 46 19 11 37 13 36 22 30 28 48 18 24 32 
20 39 13 29 42 48 12 29 36 31 31 35 47 24 21 16 11 10 16 38 
18 27 25 20 47 43 35 33 41 45 29 44 48 41 44 43 32 21 33 10 
36 38 38 47 12 17 39 20 33 30 23 20 24 16 32 34 38 22 15 14 
